code,system
1JA2.00,readv2
6AB..00,readv2
Eu84311,readv2
1461.00,readv2
299 B,readv2
3AD..00,readv2
8CMZ.00,readv2
Eu02100,readv2
Eu02200,readv2
ZS7C500,readv2
E041.00,readv2
E004.11,readv2
Eu01100,readv2
299 G,readv2
Eu02500,readv2
E02y100,readv2
8BPa.00,readv2
F112.00,readv2
F11x.00,readv2
F11x500,readv2
Eu00012,readv2
F11z.00,readv2
F11..00,readv2
F11yz00,readv2
Eu02z13,readv2
F10..00,readv2
F11x800,readv2
F11x000,readv2
F11x600,readv2
Eu00113,readv2
F103.00,readv2
F11x400,readv2
F11x700,readv2
F11y.00,readv2
F11xz00,readv2
F102100,readv2
F103000,readv2
F103z00,readv2
E012.11,readv2
E012.00,readv2
Eu10711,readv2
ZR2X.12,readv2
E004200,readv2
E002000,readv2
Eu02z16,readv2
E001200,readv2
E002100,readv2
E004300,readv2
E001300,readv2
9Ou1.00,readv2
9Ou2.00,readv2
9Ou3.00,readv2
Eu04000,readv2
Eu04100,readv2
Eu02y00,readv2
Eu01z00,readv2
Eu02z00,readv2
Eu00z00,readv2
Eu00z11,readv2
F116.00,readv2
9Ou4.00,readv2
9Ou5.00,readv2
8Hla.00,readv2
8T05.00,readv2
E002z00,readv2
E002.00,readv2
13Y7.00,readv2
F110.00,readv2
Eu00.00,readv2
Eu00111,readv2
Eu00013,readv2
E003.00,readv2
E001100,readv2
E004100,readv2
Eu00112,readv2
2900.00,readv2
E00..11,readv2
E00..12,readv2
Eu02z14,readv2
E001.00,readv2
E001z00,readv2
2229.00,readv2
Eu02z11,readv2
Eu00011,readv2
2901A,readv2
A411.00,readv2
E001000,readv2
E004000,readv2
e000.00,readv2
E000.00,readv2
9hD..00,readv2
F111.00,readv2
Eu02000,readv2
Eu01000,readv2
Eu01y00,readv2
Eu01.00,readv2
9hD1.00,readv2
9hD0.00,readv2
Eu00100,readv2
F110100,readv2
Eu10712,readv2
E012000,readv2
Eu00200,readv2
794 D,readv2
3AE..00,readv2
3A...12,readv2
Eu01300,readv2
Eu01111,readv2
Eu01200,readv2
E004z00,readv2
E004.00,readv2
Eu01.11,readv2
2930.00,readv2
Eu00000,readv2
F110000,readv2
F11x900,readv2
Eu02300,readv2
Fyu3000,readv2
Eu02.00,readv2
66h..00,readv2
9Ou..00,readv2
